"date","location_long","location_short","gt_source","cum.death","inc.death"
2020-01-25,"Luxembourg","LUX","JHU",0,0
2020-01-25,"Macedonia","MKD","JHU",0,0
2020-01-25,"Madagascar","MDG","JHU",0,0
2020-01-25,"Malawi","MWI","JHU",0,0
2020-01-25,"Malaysia","MYS","JHU",0,0
2020-01-25,"Maldives","MDV","JHU",0,0
2020-01-25,"Mali","MLI","JHU",0,0
2020-01-25,"Malta","MLT","JHU",0,0
2020-01-25,"Mauritania","MRT","JHU",0,0
2020-01-25,"Mauritius","MUS","JHU",0,0
2020-01-25,"Mexico","MEX","JHU",0,0
2020-01-25,"Moldova","MDA","JHU",0,0
2020-01-25,"Monaco","MCO","JHU",0,0
2020-01-25,"Mongolia","MNG","JHU",0,0
2020-01-25,"Montenegro","MNE","JHU",0,0
2020-01-25,"Morocco","MAR","JHU",0,0
2020-01-25,"Mozambique","MOZ","JHU",0,0
2020-01-25,"MS Zaandam","MS Zaandam","JHU",0,0
2020-01-25,"Myanmar (Burma)","MMR","JHU",0,0
2020-01-25,"Namibia","NAM","JHU",0,0
2020-01-25,"Nepal","NPL","JHU",0,0
2020-01-25,"Netherlands","NLD","JHU",0,0
2020-01-25,"New Zealand","NZL","JHU",0,0
2020-01-25,"Nicaragua","NIC","JHU",0,0
2020-01-25,"Niger","NER","JHU",0,0
2020-01-25,"Nigeria","NGA","JHU",0,0
2020-01-25,"Norway","NOR","JHU",0,0
2020-01-25,"Oman","OMN","JHU",0,0
2020-01-25,"Pakistan","PAK","JHU",0,0
2020-01-25,"Palestinian Territories","PSE","JHU",0,0
2020-01-25,"Panama","PAN","JHU",0,0
2020-01-25,"Papua New Guinea","PNG","JHU",0,0
2020-01-25,"Paraguay","PRY","JHU",0,0
2020-01-25,"Peru","PER","JHU",0,0
2020-01-25,"Philippines","PHL","JHU",0,0
2020-01-25,"Poland","POL","JHU",0,0
2020-01-25,"Portugal","PRT","JHU",0,0
2020-01-25,"Qatar","QAT","JHU",0,0
2020-01-25,"Romania","ROU","JHU",0,0
2020-01-25,"Russia","RUS","JHU",0,0
2020-01-25,"Rwanda","RWA","JHU",0,0
2020-01-25,"San Marino","SMR","JHU",0,0
2020-01-25,"São Tomé & Príncipe","STP","JHU",0,0
2020-01-25,"Saudi Arabia","SAU","JHU",0,0
2020-01-25,"Senegal","SEN","JHU",0,0
2020-01-25,"Serbia","SRB","JHU",0,0
2020-01-25,"Seychelles","SYC","JHU",0,0
2020-01-25,"Sierra Leone","SLE","JHU",0,0
2020-01-25,"Singapore","SGP","JHU",0,0
2020-01-25,"Slovakia","SVK","JHU",0,0
2020-01-25,"Slovenia","SVN","JHU",0,0
2020-01-25,"Somalia","SOM","JHU",0,0
2020-01-25,"South Africa","ZAF","JHU",0,0
2020-01-25,"South Korea","KOR","JHU",0,0
2020-01-25,"South Sudan","SSD","JHU",0,0
2020-01-25,"Spain","ESP","JHU",0,0
2020-01-25,"Sri Lanka","LKA","JHU",0,0
2020-01-25,"St. Kitts & Nevis","KNA","JHU",0,0
2020-01-25,"St. Lucia","LCA","JHU",0,0
2020-01-25,"St. Vincent & Grenadines","VCT","JHU",0,0
