state,area_between_bounds,max_ev,date_max_ev,range_at_max,last_observation_date,model_name
South Carolina,346.15,6.665,2020-04-17,22.025,2020-04-16,-
South Dakota,412.2999999999998,3.076,2020-05-12,15.0,2020-04-16,-
Tennessee,345.075,6.093,2020-04-17,21.0,2020-04-16,-
Texas,2085.825,33.955999999999996,2020-04-19,130.025,2020-04-16,-
Utah,715.2999999999998,6.711,2020-04-25,25.025,2020-04-16,-
Virginia,2161.7500000000005,24.456,2020-04-25,98.0,2020-04-16,-
Vermont,43.0,1.155,2020-04-17,6.0,2020-04-16,-
Washington,271.04999999999995,14.982999999999999,2020-04-17,35.0,2020-04-16,-
Wisconsin,396.05,9.818999999999999,2020-04-17,40.0,2020-04-16,-
West Virginia,46.0,1.3969999999999998,2020-04-18,6.0,2020-04-16,-
Wyoming,1377.7749999999996,20.855999999999998,2020-05-01,93.0749999999999,2020-04-16,-
Alaska,190.10000000000002,3.9419999999999997,2020-05-02,5.0,2020-03-29,-
Alabama,1374.1749999999997,56.937,2020-04-21,48.0,2020-03-29,-
Arkansas,546.0749999999999,25.033,2020-04-20,19.0,2020-03-29,-
Arizona,875.075,54.847,2020-04-25,25.0,2020-03-29,-
California,6162.2,100.4,2020-04-28,203.0,2020-03-29,-
Colorado,556.0999999999999,84.376,2020-04-19,37.0,2020-03-29,-
Connecticut,111.0,13.138,2020-04-17,10.0,2020-03-29,-
District of Columbia,99.0,4.438,2020-04-21,3.0,2020-03-29,-
Delaware,596.125,27.236,2020-04-20,18.0,2020-03-29,-
Florida,14474.299999999996,174.24099999999999,2020-05-04,441.025,2020-03-29,-
Georgia,828.125,83.714,2020-04-23,21.0,2020-03-29,-
Hawaii,557.125,12.356,2020-05-01,13.0,2020-03-29,-
Iowa,67.025,4.5760000000000005,2020-04-17,2.0,2020-03-29,-
Idaho,31.0,2.679,2020-04-17,1.0,2020-03-29,-
Illinois,1937.025,87.76899999999999,2020-04-17,86.0,2020-03-29,-
Indiana,619.025,33.733000000000004,2020-04-18,24.0,2020-03-29,-
Kansas,786.025,19.025,2020-04-29,22.0,2020-03-29,-
Kentucky,1176.0,10.867,2020-05-15,28.0,2020-03-29,-
Louisiana,1164.1,67.327,2020-04-17,141.025,2020-03-29,-
Massachusetts,725.0,79.874,2020-04-17,52.0,2020-03-29,-
Maryland,2809.425000000001,21.921999999999997,2020-05-14,67.025,2020-03-29,-
Maine,3514.675000000001,99.287,2020-04-26,102.025,2020-03-29,-
Michigan,1061.0500000000002,112.712,2020-04-17,159.025,2020-03-29,-
Minnesota,1863.3000000000002,70.34899999999999,2020-04-22,62.025000000000006,2020-03-29,-
Missouri,1738.125,20.108,2020-05-13,39.0,2020-03-29,-
Mississippi,3239.05,91.537,2020-04-23,167.0,2020-03-29,-
Montana,415.04999999999995,9.002,2020-05-01,10.0,2020-03-29,-
North Carolina,1463.225,55.831,2020-04-23,53.0,2020-03-29,-
North Dakota,265.075,5.377999999999999,2020-05-01,6.0,2020-03-29,-
Nebraska,639.15,13.231,2020-05-01,15.0,2020-03-29,-
New Hampshire,503.075,11.228,2020-05-01,12.0,2020-03-29,-
New Jersey,586.0,71.403,2020-04-17,81.0,2020-03-29,-
New Mexico,754.175,16.28,2020-05-01,18.0,2020-03-29,-
Nevada,369.0,18.524,2020-04-21,11.0,2020-03-29,-
New York,4950.075,552.276,2020-04-17,740.0,2020-03-29,-
Ohio,1410.0,38.864000000000004,2020-04-21,60.0,2020-03-29,-
Oklahoma,813.125,51.626999999999995,2020-04-18,58.025,2020-03-29,-
Oregon,726.025,9.798,2020-05-05,19.0,2020-03-29,-
Pennsylvania,1350.025,66.617,2020-04-17,86.0,2020-03-29,-
Rhode Island,205.0,10.164,2020-04-20,7.0,2020-03-29,-
South Carolina,793.0,31.906999999999996,2020-04-26,24.0,2020-03-29,-
South Dakota,306.05,6.415,2020-05-01,6.025,2020-03-29,-
Tennessee,817.025,34.675,2020-04-27,24.0,2020-03-29,-
Texas,6106.674999999999,102.027,2020-05-03,160.025,2020-03-29,-
Utah,624.1499999999999,15.567,2020-04-28,18.0,2020-03-29,-
Virginia,6494.099999999996,34.634,2020-05-20,136.0,2020-03-29,-
Vermont,60.0,2.949,2020-04-17,5.0,2020-03-29,-
Washington,2615.3250000000007,28.619,2020-04-24,64.0,2020-03-29,-
Wisconsin,4718.199999999998,37.155,2020-04-27,184.0,2020-03-29,-
West Virginia,835.1499999999999,17.164,2020-05-02,18.0,2020-03-29,-
Wyoming,198.05,4.17,2020-05-02,5.0,2020-03-29,-
Alaska,55.0,0.951,2020-04-21,4.0,2020-04-12,-
Alabama,723.3749999999998,11.469000000000001,2020-04-23,35.0,2020-04-12,-
Arkansas,559.3,4.364,2020-05-04,13.0,2020-04-12,-
Arizona,3232.0250000000024,25.686999999999998,2020-05-02,85.025,2020-04-12,-
California,1632.8000000000004,51.701,2020-04-19,184.2,2020-04-12,-
Colorado,214.125,9.992,2020-04-17,27.05,2020-04-12,-
Connecticut,13176.924999999994,167.547,2020-04-26,411.075,2020-04-12,-
District of Columbia,169.09999999999997,4.002,2020-04-17,20.0,2020-04-12,-
Delaware,115.17499999999995,2.844,2020-04-17,15.05,2020-04-12,-
Florida,12606.324999999997,127.829,2020-05-06,391.3,2020-04-12,-
Georgia,8984.824999999997,91.149,2020-05-03,239.10000000000002,2020-04-12,-
Hawaii,320.2,4.206,2020-04-22,21.025,2020-04-12,-
Iowa,1729.5250000000003,16.784000000000002,2020-05-06,47.0,2020-04-12,-
Idaho,128.07499999999996,2.445,2020-04-21,10.0,2020-04-12,-
Illinois,914.3249999999999,50.412,2020-04-17,168.475,2020-04-12,-
Indiana,1161.6750000000002,39.201,2020-04-17,161.1,2020-04-12,-
Kansas,1822.4750000000001,14.964,2020-04-30,48.025,2020-04-12,-
Kentucky,2961.9250000000006,28.395,2020-05-01,78.0,2020-04-12,-
Louisiana,365.1,25.343000000000004,2020-04-17,80.0,2020-04-12,-
Massachusetts,23671.39999999999,240.892,2020-04-29,713.225,2020-04-12,-
Maryland,941.1999999999999,25.01,2020-04-18,109.05,2020-04-12,-
Maine,140.1249999999999,2.247,2020-04-19,9.02499999999998,2020-04-12,-
Michigan,1155.3750000000002,76.85,2020-04-17,221.075,2020-04-12,-
Minnesota,2217.8250000000003,16.972,2020-04-29,55.099999999999895,2020-04-12,-
Missouri,4412.275000000001,50.848,2020-04-29,139.0,2020-04-12,-
Mississippi,700.3749999999999,13.593,2020-04-22,48.025,2020-04-12,-
Montana,59.02499999999998,0.937,2020-04-22,4.0,2020-04-12,-
North Carolina,819.3999999999997,20.329,2020-04-19,82.05,2020-04-12,-
North Dakota,119.04999999999995,0.6709999999999999,2020-04-30,3.0,2020-04-12,-
Nebraska,913.4249999999997,7.598,2020-05-05,27.0,2020-04-12,-
New Hampshire,156.05,4.167,2020-04-17,19.025,2020-04-12,-
New Jersey,3629.7,191.14700000000002,2020-04-17,708.4,2020-04-12,-
New Mexico,596.125,3.7760000000000002,2020-04-28,14.0,2020-04-12,-
Nevada,389.15,9.165,2020-04-17,37.0,2020-04-12,-
New York,5423.924999999998,474.05,2020-04-17,1157.4750000000001,2020-04-12,-
Ohio,439.1,19.379,2020-04-17,80.025,2020-04-12,-
Oklahoma,2732.4250000000015,24.249000000000002,2020-05-01,70.025,2020-04-12,-
Oregon,573.0999999999999,5.544,2020-04-27,14.0,2020-04-12,-
Pennsylvania,3859.0250000000005,88.109,2020-04-18,353.25,2020-04-12,-
Rhode Island,4117.775,27.342,2020-05-04,115.125,2020-04-12,-
South Carolina,1753.7750000000008,16.124000000000002,2020-05-02,44.025,2020-04-12,-
South Dakota,818.3249999999998,5.902,2020-05-02,30.0,2020-04-12,-
Tennessee,849.7249999999992,18.952,2020-04-18,65.1749999999998,2020-04-12,-
Texas,7495.649999999998,71.10600000000001,2020-04-30,203.075,2020-04-12,-
Utah,602.7249999999998,4.513999999999999,2020-05-03,15.05,2020-04-12,-
Virginia,3469.1500000000024,32.656,2020-04-28,97.025,2020-04-12,-
Vermont,27.0,0.444,2020-04-29,1.0,2020-04-12,-
Washington,461.17499999999995,22.171999999999997,2020-04-17,44.025,2020-04-12,-
Wisconsin,361.125,14.462,2020-04-17,50.0,2020-04-12,-
West Virginia,315.2,3.787,2020-04-20,20.025,2020-04-12,-
Wyoming,225.04999999999998,1.6840000000000002,2020-05-07,10.025,2020-04-12,-
Alaska,332.20000000000005,7.666,2020-04-21,32.05,2020-04-07,-
Alabama,1633.7000000000005,27.215999999999998,2020-04-22,97.025,2020-04-07,-
Arkansas,548.125,7.319,2020-04-27,22.025,2020-04-07,-
Arizona,1896.6250000000005,24.41,2020-04-23,61.025000000000006,2020-04-07,-
California,884.25,65.483,2020-04-17,144.05,2020-04-07,-
Colorado,170.025,15.036,2020-04-17,25.025,2020-04-07,-
Connecticut,9051.249999999996,137.953,2020-04-22,265.025,2020-04-07,-
District of Columbia,77.0,3.2310000000000003,2020-04-17,7.0,2020-04-07,-
Delaware,29.0,1.31,2020-04-17,4.0,2020-04-07,-
Florida,6996.849999999998,149.145,2020-04-23,207.04999999999998,2020-04-07,-
